,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
70,8.0,Fri,2021-10-15,20:30,Hoffenheim,3.7,5–0,0.7,Köln,14309.0,PreZero Arena,Tobias Reichel,Match Report,
71,8.0,Sat,2021-10-16,15:30,Eint Frankfurt,1.5,1–2,1.8,Hertha BSC,32000.0,Commerzbank-Arena,Deniz Aytekin,Match Report,
72,8.0,Sat,2021-10-16,15:30,Union Berlin,1.2,2–0,1.8,Wolfsburg,11000.0,Stadion An der Alten Försterei,Sascha Stegemann,Match Report,
73,8.0,Sat,2021-10-16,15:30,Freiburg,1.4,1–1,1.7,RB Leipzig,20000.0,Europa-Park Stadion,Daniel Siebert,Match Report,
74,8.0,Sat,2021-10-16,15:30,Greuther Fürth,1.0,0–1,1.2,Bochum,10586.0,Sportpark Ronhof Thomas Sommer,Bastian Dankert,Match Report,
75,8.0,Sat,2021-10-16,15:30,Dortmund,2.3,3–1,0.6,Mainz 05,63812.0,Signal Iduna Park,Daniel Schlager,Match Report,
76,8.0,Sat,2021-10-16,18:30,M'Gladbach,2.6,1–1,0.5,Stuttgart,41608.0,Stadion im Borussia-Park,Felix Brych,Match Report,
77,8.0,Sun,2021-10-17,15:30,Leverkusen,0.8,1–5,3.1,Bayern Munich,29542.0,BayArena,Sven Jablonski,Match Report,
78,8.0,Sun,2021-10-17,17:30,Augsburg,0.8,1–1,0.4,Arminia,17500.0,WWK Arena,Robert Schröder,Match Report,
79,,,,,,,,,,,,,,
80,9.0,Fri,2021-10-22,20:30,Mainz 05,3.6,4–1,0.8,Augsburg,19400.0,Opel Arena,Robert Hartmann,Match Report,
81,9.0,Sat,2021-10-23,15:30,Bayern Munich,2.1,4–0,0.7,Hoffenheim,60000.0,Allianz Arena,Matthias Jöllenbeck,Match Report,
82,9.0,Sat,2021-10-23,15:30,Wolfsburg,1.8,0–2,1.5,Freiburg,10251.0,Volkswagen Arena,Tobias Welz,Match Report,
83,9.0,Sat,2021-10-23,15:30,RB Leipzig,2.5,4–1,1.5,Greuther Fürth,24758.0,Red Bull Arena,Christian Dingert,Match Report,
84,9.0,Sat,2021-10-23,15:30,Arminia,1.7,1–3,2.4,Dortmund,25000.0,SchücoArena,Benjamin Brand,Match Report,
85,9.0,Sat,2021-10-23,18:30,Hertha BSC,1.1,1–0,0.7,M'Gladbach,25000.0,Olympiastadion Berlin,Benjamin Cortus,Match Report,
86,9.0,Sun,2021-10-24,15:30,Köln,1.9,2–2,1.4,Leverkusen,49600.0,RheinEnergieSTADION,Felix Zwayer,Match Report,
87,9.0,Sun,2021-10-24,17:30,Stuttgart,0.5,1–1,1.2,Union Berlin,32595.0,Mercedes-Benz Arena,Florian Badstübner,Match Report,
88,9.0,Sun,2021-10-24,19:30,Bochum,2.1,2–0,1.6,Eint Frankfurt,19510.0,Vonovia Ruhrstadion,Marco Fritz,Match Report,
89,,,,,,,,,,,,,,
90,10.0,Fri,2021-10-29,20:30,Hoffenheim,1.0,2–0,0.4,Hertha BSC,8127.0,PreZero Arena,Sven Jablonski,Match Report,
91,10.0,Sat,2021-10-30,15:30,Freiburg,1.3,3–1,0.7,Greuther Fürth,31500.0,Europa-Park Stadion,Felix Brych,Match Report,
92,10.0,Sat,2021-10-30,15:30,Leverkusen,1.4,0–2,1.7,Wolfsburg,20132.0,BayArena,Deniz Aytekin,Match Report,
93,10.0,Sat,2021-10-30,15:30,Dortmund,1.3,2–0,1.3,Köln,66709.0,Signal Iduna Park,Martin Petersen,Match Report,
94,10.0,Sat,2021-10-30,15:30,Union Berlin,1.1,2–5,3.3,Bayern Munich,16509.0,Stadion An der Alten Försterei,Harm Osmers,Match Report,
95,10.0,Sat,2021-10-30,15:30,Arminia,0.7,1–2,2.5,Mainz 05,19477.0,SchücoArena,Bastian Dankert,Match Report,
