,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,player_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,week,year
83,Xande Nascimento da Costa Silva,MID,Nott'm Forest,0.0,0,0,0,0,0.0,390,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,1985,0,0,2,0.0,0,0,0,0,50,False,0,1,2023
84,Dean Henderson,GK,Nott'm Forest,1.7,0,0,26,0,0.0,398,0.0,0.0,0.0,0.0,7,2,0,4.8,48.0,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,7,434219,0,0,2,0.0,3,0,0,0,45,False,0,1,2023
85,Jack Stacey,DEF,Bournemouth,1.4,0,0,0,0,0.0,65,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,2,0,0,0,0,1,0,4613,0,0,2,0.0,0,0,0,0,45,True,0,1,2023
86,Mason Holgate,DEF,Everton,1.4,0,0,9,0,0.5,192,0.0,0.0,0.0,0.0,3,1,0,4.8,27.0,2022-08-06T16:30:00Z,72,6,0,0,0,0,1,0,10243,0,1,0,20.0,1,0,0,0,45,True,1,1,2023
87,Steven Alzate,MID,Brighton,0.5,0,0,0,0,0.0,115,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,14,0,0,0,0,1,0,17451,0,2,1,0.0,0,0,0,0,45,False,0,1,2023
88,Mateusz Klich,MID,Leeds,1.1,0,0,2,0,5.3,223,0.0,0.0,0.0,0.0,5,0,0,1.1,1.4,2022-08-06T14:00:00Z,25,20,0,0,0,0,1,0,10219,0,1,2,4.0,1,0,0,0,50,True,0,1,2023
89,Armel Bella-Kotchap,DEF,Southampton,1.4,0,0,0,0,0.0,423,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,18,0,0,0,0,1,0,5917,0,1,4,0.0,0,0,0,0,45,False,0,1,2023
90,Ainsley Maitland-Niles,MID,Arsenal,2.1,0,0,0,0,0.0,21,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,7,0,0,0,0,1,0,4894,0,2,0,0.0,0,0,0,0,50,False,0,1,2023
91,James Milner,MID,Liverpool,2.5,0,0,1,0,4.7,274,0.0,0.0,0.0,0.0,4,1,0,1.6,3.2,2022-08-06T11:30:00Z,31,9,0,0,0,0,1,0,62173,0,2,2,8.0,1,0,0,0,45,False,0,1,2023
92,Keane Lewis-Potter,MID,Brentford,2.0,0,0,3,0,0.2,515,0.0,0.0,0.0,0.0,6,0,0,0.7,5.2,2022-08-07T13:00:00Z,31,10,0,0,0,0,1,0,9624,0,2,2,2.0,1,0,0,0,55,False,0,1,2023
93,Kevin De Bruyne,MID,Man City,4.7,1,0,24,1,43.0,301,0.0,0.0,0.0,0.0,10,0,0,8.7,24.4,2022-08-07T15:30:00Z,87,19,0,0,0,0,1,0,1151254,0,2,0,20.0,6,0,0,0,120,False,0,1,2023
94,Sepp van den Berg,DEF,Liverpool,2.5,0,0,0,0,0.0,500,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,19524,0,2,2,0.0,0,0,0,0,40,False,0,1,2023
95,Joe Gelhardt,FWD,Leeds,1.0,0,0,2,0,0.3,242,0.0,0.0,0.0,0.0,5,0,0,0.1,0.2,2022-08-06T14:00:00Z,6,20,0,0,0,0,1,0,57638,0,1,2,0.0,1,0,0,0,55,True,0,1,2023
96,Diego Carlos Santos Silva,DEF,Aston Villa,2.8,0,0,8,0,1.5,50,0.0,0.0,0.0,0.0,2,2,0,1.4,9.2,2022-08-06T14:00:00Z,90,3,0,0,0,0,1,0,92038,0,0,2,3.0,1,0,0,0,50,False,0,1,2023
97,Lucas Rodrigues Moura da Silva,MID,Spurs,2.7,0,0,5,0,0.0,431,0.0,0.0,0.0,0.0,8,0,0,0.2,2.0,2022-08-06T14:00:00Z,4,17,0,0,0,0,1,0,28944,0,1,4,0.0,1,0,0,0,60,True,0,1,2023
98,Ben Mee,DEF,Brentford,1.9,0,0,9,0,1.4,526,0.0,0.0,0.0,0.0,6,2,0,0.9,7.8,2022-08-07T13:00:00Z,58,10,0,0,0,0,1,0,26294,0,2,2,0.0,0,0,0,0,45,False,0,1,2023
