,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Spread,home_odds,away_odds,Opening Spread,inter_spread_1,inter_spread_2,inter_spread_3
81,10,Sat,2022-10-16,,Union Berlin,,,,Dortmund,,Stadion An der Alten FÃ¶rsterei,,Head-to-Head,0.25,,,0.25,0.25,,
82,10,Sat,2022-10-15,,Wolfsburg,,,,M'Gladbach,,Volkswagen Arena,,Head-to-Head,0.25,,,0.0,0.0,,
83,10,Sat,2022-10-15,,Eint Frankfurt,,,,Leverkusen,,Commerzbank-Arena,,Head-to-Head,0.0,,,0.0,0.0,,
84,10,Sat,2022-10-16,,Köln,,,,Augsburg,,RheinEnergieSTADION,,Head-to-Head,-0.75,,,-0.75,-0.75,,
85,10,Sat,2022-10-14,,Schalke 04,,,,Hoffenheim,,Veltins-Arena,,Head-to-Head,0.5,,,0.5,0.5,,
86,10,Sat,2022-10-16,,Bayern Munich,,,,Freiburg,,Allianz Arena,,Head-to-Head,-1.75,,,-1.75,-1.75,,
87,10,Sat,2022-10-15,,Werder Bremen,,,,Mainz 05,,Weserstadion,,Head-to-Head,-0.25,,,0.0,-0.25,,
88,10,Sat,2022-10-15,,Stuttgart,,,,Bochum,,Mercedes-Benz Arena,,Head-to-Head,-0.75,,,-1.0,-0.75,,
89,10,Sat,2022-10-15,,RB Leipzig,,,,Hertha BSC,,Red Bull Arena,,Head-to-Head,-1.25,,,-1.25,-1.25,,
90,11,Sat,2022-10-22,,Leverkusen,,,,Wolfsburg,,BayArena,,Head-to-Head,-0.75,,,-1.0,,,
91,11,Sat,2022-10-22,,Hoffenheim,,,,Bayern Munich,,PreZero Arena,,Head-to-Head,1.25,,,1.25,,,
92,11,Sat,2022-10-22,,Dortmund,,,,Stuttgart,,Signal Iduna Park,,Head-to-Head,-1.0,,,-1.25,,,
93,11,Sat,2022-10-23,,Bochum,,,,Union Berlin,,Vonovia Ruhrstadion,,Head-to-Head,0.5,,,0.5,,,
94,11,Sat,2022-10-23,,Hertha BSC,,,,Schalke 04,,Olympiastadion Berlin,,Head-to-Head,-0.75,,,-0.25,,,
95,11,Sat,2022-10-21,,Mainz 05,,,,Köln,,Opel Arena,,Head-to-Head,-0.25,,,-0.25,,,
96,11,Sat,2022-10-22,,Freiburg,,,,Werder Bremen,,Europa-Park Stadion,,Head-to-Head,-0.5,,,-0.5,,,
97,11,Sat,2022-10-22,,Augsburg,,,,RB Leipzig,,WWK Arena,,Head-to-Head,1.0,,,1.0,,,
98,11,Sat,2022-10-22,,M'Gladbach,,,,Eint Frankfurt,,Stadion im Borussia-Park,,Head-to-Head,-0.25,,,-0.25,,,
99,12,Sat,2022-10-29,,Bayern Munich,,,,Mainz 05,,Allianz Arena,,Head-to-Head,-1.75,,,-1.75,-1.75,,
100,12,Sat,2022-10-30,,Schalke 04,,,,Freiburg,,Veltins-Arena,,Head-to-Head,0.5,,,0.5,0.5,,
101,12,Sat,2022-10-29,,Wolfsburg,,,,Bochum,,Volkswagen Arena,,Head-to-Head,-0.75,,,-0.5,-0.5,,
102,12,Sat,2022-10-29,,RB Leipzig,,,,Leverkusen,,Red Bull Arena,,Head-to-Head,-0.75,,,-0.5,-0.5,,
103,12,Sat,2022-10-29,,Stuttgart,,,,Augsburg,,Mercedes-Benz Arena,,Head-to-Head,-0.5,,,-0.5,-0.5,,
104,12,Sat,2022-10-28,,Werder Bremen,,,,Hertha BSC,,Weserstadion,,Head-to-Head,-0.5,,,-0.5,-0.5,,
105,12,Sat,2022-10-30,,Union Berlin,,,,M'Gladbach,,Stadion An der Alten FÃ¶rsterei,,Head-to-Head,-0.5,,,-0.25,-0.25,,
106,12,Sat,2022-10-29,,Eint Frankfurt,,,,Dortmund,,Commerzbank-Arena,,Head-to-Head,0.25,,,0.25,0.25,,
107,12,Sat,2022-10-30,,Köln,,,,Hoffenheim,,RheinEnergieSTADION,,Head-to-Head,0.0,,,0.0,0.0,,
108,13,Sat,2022-11-05,,Dortmund,,,,Bochum,,Signal Iduna Park,,Head-to-Head,-1.75,,,-1.75,,,
109,13,Sat,2022-11-05,,Mainz 05,,,,Wolfsburg,,Opel Arena,,Head-to-Head,-0.5,,,-0.5,,,
110,13,Sat,2022-11-04,,M'Gladbach,,,,Stuttgart,,Stadion im Borussia-Park,,Head-to-Head,-0.5,,,-0.5,,,
111,13,Sat,2022-11-05,,Werder Bremen,,,,Schalke 04,,Weserstadion,,Head-to-Head,-1.0,,,-0.75,,,
112,13,Sat,2022-11-05,,Augsburg,,,,Eint Frankfurt,,WWK Arena,,Head-to-Head,0.75,,,0.5,,,
113,13,Sat,2022-11-06,,Freiburg,,,,Köln,,Europa-Park Stadion,,Head-to-Head,-0.75,,,-0.5,,,
114,13,Sat,2022-11-05,,Hertha BSC,,,,Bayern Munich,,Olympiastadion Berlin,,Head-to-Head,1.75,,,1.75,,,
115,13,Sat,2022-11-05,,Hoffenheim,,,,RB Leipzig,,PreZero Arena,,Head-to-Head,0.25,,,0.0,,,
116,13,Sat,2022-11-06,,Leverkusen,,,,Union Berlin,,BayArena,,Head-to-Head,-0.25,,,-0.25,,,
117,14,Tue,2022-11-08,,Stuttgart,,,,Hertha BSC,,Mercedes-Benz Arena,,Head-to-Head,-0.5,,,-0.5,,,
118,14,Tue,2022-11-08,,Bochum,,,,M'Gladbach,,Vonovia Ruhrstadion,,Head-to-Head,0.0,,,0.5,,,
119,14,Tue,2022-11-09,,Union Berlin,,,,Augsburg,,Stadion An der Alten FÃ¶rsterei,,Head-to-Head,-0.75,,,-1.0,,,
120,14,Tue,2022-11-09,,Schalke 04,,,,Mainz 05,,Veltins-Arena,,Head-to-Head,0.25,,,0.5,,,
121,14,Tue,2022-11-09,,RB Leipzig,,,,Freiburg,,Red Bull Arena,,Head-to-Head,-0.5,,,-0.75,,,
122,14,Tue,2022-11-08,,Wolfsburg,,,,Dortmund,,Volkswagen Arena,,Head-to-Head,0.25,,,0.25,,,
123,14,Tue,2022-11-08,,Bayern Munich,,,,Werder Bremen,,Allianz Arena,,Head-to-Head,-2.25,,,-2.25,,,
124,14,Tue,2022-11-09,,Eint Frankfurt,,,,Hoffenheim,,Commerzbank-Arena,,Head-to-Head,-0.75,,,-0.25,,,
125,14,Tue,2022-11-09,,Köln,,,,Leverkusen,,RheinEnergieSTADION,,Head-to-Head,0.25,,,0.25,,,
126,15,Sat,2022-11-12,,Augsburg,,,,Bochum,,WWK Arena,,Head-to-Head,-0.25,,,-0.5,,,
127,15,Sat,2022-11-12,,Hoffenheim,,,,Wolfsburg,,PreZero Arena,,Head-to-Head,-0.25,,,-0.5,,,
128,15,Sat,2022-11-12,,Werder Bremen,,,,RB Leipzig,,Weserstadion,,Head-to-Head,0.5,,,0.5,,,
129,15,Sat,2022-11-13,,Mainz 05,,,,Eint Frankfurt,,Opel Arena,,Head-to-Head,0.25,,,0.0,,,
130,15,Sat,2022-11-13,,Freiburg,,,,Union Berlin,,Europa-Park Stadion,,Head-to-Head,-0.5,,,-0.25,,,
131,15,Sat,2022-11-12,,Schalke 04,,,,Bayern Munich,,Veltins-Arena,,Head-to-Head,2.25,,,2.25,,,
132,15,Sat,2022-11-11,,M'Gladbach,,,,Dortmund,,Stadion im Borussia-Park,,Head-to-Head,0.25,,,0.25,,,
133,15,Sat,2022-11-12,,Hertha BSC,,,,Köln,,Olympiastadion Berlin,,Head-to-Head,-0.25,,,0.0,,,
134,15,Sat,2022-11-12,,Leverkusen,,,,Stuttgart,,BayArena,,Head-to-Head,-0.75,,,-0.75,,,
135,16,Sat,2023-01-21,,Köln,,,,Werder Bremen,,RheinEnergieSTADION,,Head-to-Head,-0.25,,,-0.25,-0.25,,
136,16,Sat,2023-01-22,,Dortmund,,,,Augsburg,,Signal Iduna Park,,Head-to-Head,-1.75,,,-1.5,-1.5,,
137,16,Sat,2023-01-21,,Union Berlin,,,,Hoffenheim,,Stadion An der Alten FÃ¶rsterei,,Head-to-Head,-0.25,,,-0.5,-0.25,,
138,16,Sat,2023-01-21,,Stuttgart,,,,Mainz 05,,Mercedes-Benz Arena,,Head-to-Head,-0.25,,,-0.25,-0.25,,
139,16,Sat,2023-01-21,,Bochum,,,,Hertha BSC,,Vonovia Ruhrstadion,,Head-to-Head,-0.25,,,0.0,-0.25,,
140,16,Sat,2023-01-21,,Wolfsburg,,,,Freiburg,,Volkswagen Arena,,Head-to-Head,0.0,,,0.0,0.0,,
141,16,Sat,2023-01-21,,Eint Frankfurt,,,,Schalke 04,,Commerzbank-Arena,,Head-to-Head,-1.5,,,-1.25,-1.5,,
142,16,Sat,2023-01-22,,M'Gladbach,,,,Leverkusen,,Stadion im Borussia-Park,,Head-to-Head,0.0,,,0.0,0.0,,
143,16,Sat,2023-01-20,,RB Leipzig,,,,Bayern Munich,,Red Bull Arena,,Head-to-Head,0.5,,,0.5,0.5,,
144,17,Tue,2023-01-25,,Werder Bremen,,,,Union Berlin,,Weserstadion,,Head-to-Head,0.0,,,0.0,0.0,,
