,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
97,10.0,Sat,2022-10-15,,Stuttgart,,,,Bochum,,Mercedes-Benz Arena,,Head-to-Head,
98,10.0,Sat,2022-10-15,,RB Leipzig,,,,Hertha BSC,,Red Bull Arena,,Head-to-Head,
99,,,,,,,,,,,,,,
100,11.0,Sat,2022-10-22,,Dortmund,,,,Stuttgart,,Signal Iduna Park,,Head-to-Head,
101,11.0,Sat,2022-10-22,,M'Gladbach,,,,Eint Frankfurt,,Stadion im Borussia-Park,,Head-to-Head,
102,11.0,Sat,2022-10-22,,Freiburg,,,,Werder Bremen,,Europa-Park Stadion,,Head-to-Head,
103,11.0,Sat,2022-10-22,,Augsburg,,,,RB Leipzig,,WWK Arena,,Head-to-Head,
104,11.0,Sat,2022-10-22,,Leverkusen,,,,Wolfsburg,,BayArena,,Head-to-Head,
105,11.0,Sat,2022-10-22,,Mainz 05,,,,Köln,,Opel Arena,,Head-to-Head,
106,11.0,Sat,2022-10-22,,Hertha BSC,,,,Schalke 04,,Olympiastadion Berlin,,Head-to-Head,
107,11.0,Sat,2022-10-22,,Hoffenheim,,,,Bayern Munich,,PreZero Arena,,Head-to-Head,
108,11.0,Sat,2022-10-22,,Bochum,,,,Union Berlin,,Vonovia Ruhrstadion,,Head-to-Head,
109,,,,,,,,,,,,,,
110,12.0,Sat,2022-10-29,,Wolfsburg,,,,Bochum,,Volkswagen Arena,,Head-to-Head,
111,12.0,Sat,2022-10-29,,Bayern Munich,,,,Mainz 05,,Allianz Arena,,Head-to-Head,
112,12.0,Sat,2022-10-29,,Schalke 04,,,,Freiburg,,Veltins-Arena,,Head-to-Head,
113,12.0,Sat,2022-10-29,,Köln,,,,Hoffenheim,,RheinEnergieSTADION,,Head-to-Head,
114,12.0,Sat,2022-10-29,,Stuttgart,,,,Augsburg,,Mercedes-Benz Arena,,Head-to-Head,
115,12.0,Sat,2022-10-29,,RB Leipzig,,,,Leverkusen,,Red Bull Arena,,Head-to-Head,
116,12.0,Sat,2022-10-29,,Eint Frankfurt,,,,Dortmund,,Commerzbank-Arena,,Head-to-Head,
117,12.0,Sat,2022-10-29,,Werder Bremen,,,,Hertha BSC,,Weserstadion,,Head-to-Head,
118,12.0,Sat,2022-10-29,,Union Berlin,,,,M'Gladbach,,Stadion An der Alten Försterei,,Head-to-Head,
119,,,,,,,,,,,,,,
120,13.0,Sat,2022-11-05,,Hertha BSC,,,,Bayern Munich,,Olympiastadion Berlin,,Head-to-Head,
121,13.0,Sat,2022-11-05,,Freiburg,,,,Köln,,Europa-Park Stadion,,Head-to-Head,
122,13.0,Sat,2022-11-05,,M'Gladbach,,,,Stuttgart,,Stadion im Borussia-Park,,Head-to-Head,
123,13.0,Sat,2022-11-05,,Mainz 05,,,,Wolfsburg,,Opel Arena,,Head-to-Head,
124,13.0,Sat,2022-11-05,,Leverkusen,,,,Union Berlin,,BayArena,,Head-to-Head,
125,13.0,Sat,2022-11-05,,Hoffenheim,,,,RB Leipzig,,PreZero Arena,,Head-to-Head,
126,13.0,Sat,2022-11-05,,Augsburg,,,,Eint Frankfurt,,WWK Arena,,Head-to-Head,
127,13.0,Sat,2022-11-05,,Werder Bremen,,,,Schalke 04,,Weserstadion,,Head-to-Head,
128,13.0,Sat,2022-11-05,,Dortmund,,,,Bochum,,Signal Iduna Park,,Head-to-Head,
129,,,,,,,,,,,,,,
130,14.0,Tue,2022-11-08,,Union Berlin,,,,Augsburg,,Stadion An der Alten Försterei,,Head-to-Head,
131,14.0,Tue,2022-11-08,,Köln,,,,Leverkusen,,RheinEnergieSTADION,,Head-to-Head,
132,14.0,Tue,2022-11-08,,Stuttgart,,,,Hertha BSC,,Mercedes-Benz Arena,,Head-to-Head,
133,14.0,Tue,2022-11-08,,Schalke 04,,,,Mainz 05,,Veltins-Arena,,Head-to-Head,
134,14.0,Tue,2022-11-08,,Bayern Munich,,,,Werder Bremen,,Allianz Arena,,Head-to-Head,
135,14.0,Tue,2022-11-08,,Bochum,,,,M'Gladbach,,Vonovia Ruhrstadion,,Head-to-Head,
136,14.0,Tue,2022-11-08,,RB Leipzig,,,,Freiburg,,Red Bull Arena,,Head-to-Head,
137,14.0,Tue,2022-11-08,,Eint Frankfurt,,,,Hoffenheim,,Commerzbank-Arena,,Head-to-Head,
138,14.0,Tue,2022-11-08,,Wolfsburg,,,,Dortmund,,Volkswagen Arena,,Head-to-Head,
139,,,,,,,,,,,,,,
140,15.0,Sat,2022-11-12,,Werder Bremen,,,,RB Leipzig,,Weserstadion,,Head-to-Head,
141,15.0,Sat,2022-11-12,,Freiburg,,,,Union Berlin,,Europa-Park Stadion,,Head-to-Head,
142,15.0,Sat,2022-11-12,,Leverkusen,,,,Stuttgart,,BayArena,,Head-to-Head,
143,15.0,Sat,2022-11-12,,M'Gladbach,,,,Dortmund,,Stadion im Borussia-Park,,Head-to-Head,
144,15.0,Sat,2022-11-12,,Schalke 04,,,,Bayern Munich,,Veltins-Arena,,Head-to-Head,
145,15.0,Sat,2022-11-12,,Augsburg,,,,Bochum,,WWK Arena,,Head-to-Head,
146,15.0,Sat,2022-11-12,,Hertha BSC,,,,Köln,,Olympiastadion Berlin,,Head-to-Head,
